HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Non-rotating_L0_N50_Nm200_k12_f021_p10_l0.92_0.1_2
	 Input file read successful
	 Initialising with ellipsoids
	 	 Using evenly spaced mu points
	 	 Min density 3.11383(SI)
	 	 Max density 30942.4(SI)
	 	 AM conservation selected
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	4.9374e+11	2.01145e+07	0	0	-nan
	 	 	2	0.937007	2.54898e+11	1.51913e+07	0	0	-nan
	 	 	3	0.0449901	2.66906e+11	1.23882e+07	0	0	-nan
	 	 	4	0.124407	3.04829e+11	1.08937e+07	0	0	-nan
	 	 	5	0.0752647	3.29639e+11	1.01197e+07	0	0	-nan
	 	 	6	0.0285737	3.39335e+11	9.72004e+06	0	0	-nan
	 	 	7	0.00422422	3.40775e+11	9.51536e+06	0	0	-nan
	 	 	8	0.00461428	3.3921e+11	9.41254e+06	0	0	-nan
	 	 	9	0.00614627	3.37137e+11	9.36278e+06	0	0	-nan
	 	 	10	0.0050981	3.35427e+11	9.34047e+06	0	0	-nan
	 	 	11	0.00357565	3.34232e+11	9.3321e+06	0	0	-nan
	 	 	12	0.0022857	3.3347e+11	9.33053e+06	0	0	-nan
	 	 	13	0.00137383	3.33013e+11	9.33217e+06	0	0	-nan
	 	 	14	0.000774905	3.32755e+11	9.33574e+06	0	0	-nan
	 	 	15	0.000326114	3.32646e+11	9.3385e+06	0	0	-nan
	 	 	16	0.000139469	3.326e+11	9.34075e+06	0	0	-nan
	 	 	17	6.95807e-05	3.32577e+11	9.34259e+06	0	0	-nan
	 	 	18	4.41046e-05	3.32562e+11	9.34407e+06	0	0	-nan
	 	 	19	3.41381e-05	3.32551e+11	9.34522e+06	0	0	-nan
	 	 	20	2.89012e-05	3.32541e+11	9.34611e+06	0	0	-nan
	 	 	21	2.46985e-05	3.32533e+11	9.34677e+06	0	0	-nan
	 	 	22	2.0585e-05	3.32526e+11	9.34727e+06	0	0	-nan
	 	 	23	1.65958e-05	3.32521e+11	9.34763e+06	0	0	-nan
	 	 	24	1.29636e-05	3.32516e+11	9.3479e+06	0	0	-nan
	 	 	25	9.86049e-06	3.32513e+11	9.34809e+06	0	0	-nan
	 	 	26	7.34656e-06	3.3251e+11	9.34823e+06	0	0	-nan
	 	 	27	5.39521e-06	3.32509e+11	9.34833e+06	0	0	-nan
	 	 	28	3.92741e-06	3.32507e+11	9.3484e+06	0	0	-nan
	 	 	29	2.84658e-06	3.32506e+11	9.34845e+06	0	0	-nan
	 	 	30	2.06086e-06	3.32506e+11	9.34849e+06	0	0	-nan
	 	 	31	1.49368e-06	3.32505e+11	9.34852e+06	0	0	-nan
	 	 	32	1.08416e-06	3.32505e+11	9.34854e+06	0	0	-nan
	 	 	33	7.88602e-07	3.32505e+11	9.34856e+06	0	0	-nan
	 	 	34	5.74706e-07	3.32504e+11	9.34857e+06	0	0	-nan
	 	 	35	4.1943e-07	3.32504e+11	9.34858e+06	0	0	-nan
	 	 	36	3.06397e-07	3.32504e+11	9.34858e+06	0	0	-nan
	 	 	37	2.23941e-07	3.32504e+11	9.34859e+06	0	0	-nan
	 	 	38	1.63708e-07	3.32504e+11	9.34859e+06	0	0	-nan
	 	 	39	1.19674e-07	3.32504e+11	9.34859e+06	0	0	-nan
	 	 	40	8.7472e-08	3.32504e+11	9.34859e+06	0	0	-nan
	 	 	41	6.39241e-08	3.32504e+11	9.3486e+06	0	0	-nan
	 	 	42	4.67076e-08	3.32504e+11	9.3486e+06	0	0	-nan
	 	 	43	3.41233e-08	3.32504e+11	9.3486e+06	0	0	-nan
	 	 	44	2.49272e-08	3.32504e+11	9.3486e+06	0	0	-nan
	 	 	45	1.82083e-08	3.32504e+11	9.3486e+06	0	0	-nan
	 	 	46	1.33001e-08	3.32504e+11	9.3486e+06	0	0	-nan
	 	 	47	9.71485e-09	3.32504e+11	9.3486e+06	0	0	-nan
	 1	0.867444	9.3486e+06	0.972589	0.232531	0.239085	0	-1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.35723e+11	9.2785e+06	0	0	-nan
	 	 	2	0.0119026	3.31774e+11	9.28726e+06	0	0	-nan
	 	 	3	0.00340165	3.30649e+11	9.29164e+06	0	0	-nan
	 	 	4	0.00108705	3.3029e+11	9.29399e+06	0	0	-nan
	 	 	5	0.000403764	3.30157e+11	9.29539e+06	0	0	-nan
	 	 	6	0.00016887	3.30101e+11	9.29632e+06	0	0	-nan
	 	 	7	7.64293e-05	3.30076e+11	9.297e+06	0	0	-nan
	 	 	8	3.72808e-05	3.30064e+11	9.29752e+06	0	0	-nan
	 	 	9	2.02549e-05	3.30057e+11	9.29792e+06	0	0	-nan
	 	 	10	1.26801e-05	3.30053e+11	9.29824e+06	0	0	-nan
	 	 	11	9.06086e-06	3.3005e+11	9.29848e+06	0	0	-nan
	 	 	12	7.02609e-06	3.30047e+11	9.29867e+06	0	0	-nan
	 	 	13	5.61376e-06	3.30046e+11	9.29881e+06	0	0	-nan
	 	 	14	4.47614e-06	3.30044e+11	9.29891e+06	0	0	-nan
	 	 	15	3.51227e-06	3.30043e+11	9.29898e+06	0	0	-nan
	 	 	16	2.70138e-06	3.30042e+11	9.29904e+06	0	0	-nan
	 	 	17	2.03946e-06	3.30041e+11	9.29908e+06	0	0	-nan
	 	 	18	1.51645e-06	3.30041e+11	9.29911e+06	0	0	-nan
	 	 	19	1.11489e-06	3.3004e+11	9.29913e+06	0	0	-nan
	 	 	20	8.13516e-07	3.3004e+11	9.29914e+06	0	0	-nan
	 	 	21	5.91055e-07	3.3004e+11	9.29915e+06	0	0	-nan
	 	 	22	4.28637e-07	3.3004e+11	9.29916e+06	0	0	-nan
	 	 	23	3.10804e-07	3.3004e+11	9.29917e+06	0	0	-nan
	 	 	24	2.25552e-07	3.3004e+11	9.29917e+06	0	0	-nan
	 	 	25	1.63891e-07	3.3004e+11	9.29917e+06	0	0	-nan
	 	 	26	1.1924e-07	3.3004e+11	9.29918e+06	0	0	-nan
	 	 	27	8.68491e-08	3.3004e+11	9.29918e+06	0	0	-nan
	 	 	28	6.33076e-08	3.3004e+11	9.29918e+06	0	0	-nan
	 	 	29	4.61704e-08	3.3004e+11	9.29918e+06	0	0	-nan
	 	 	30	3.36808e-08	3.30039e+11	9.29918e+06	0	0	-nan
	 	 	31	2.45715e-08	3.30039e+11	9.29918e+06	0	0	-nan
	 	 	32	1.79252e-08	3.30039e+11	9.29918e+06	0	0	-nan
	 	 	33	1.30753e-08	3.30039e+11	9.29918e+06	0	0	-nan
	 	 	34	9.53658e-09	3.30039e+11	9.29918e+06	0	0	-nan
	 2	0.00170248	9.29918e+06	0.989735	0.142917	0.1444	0	-1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.31594e+11	9.26882e+06	0	0	-nan
	 	 	2	0.00549093	3.29783e+11	9.27257e+06	0	0	-nan
	 	 	3	0.00152915	3.2928e+11	9.27443e+06	0	0	-nan
	 	 	4	0.000478919	3.29122e+11	9.27541e+06	0	0	-nan
	 	 	5	0.000175936	3.29064e+11	9.27598e+06	0	0	-nan
	 	 	6	7.28588e-05	3.2904e+11	9.27635e+06	0	0	-nan
	 	 	7	3.25728e-05	3.29029e+11	9.27662e+06	0	0	-nan
	 	 	8	1.56182e-05	3.29024e+11	9.27683e+06	0	0	-nan
	 	 	9	8.30241e-06	3.29022e+11	9.27699e+06	0	0	-nan
	 	 	10	5.09458e-06	3.2902e+11	9.27712e+06	0	0	-nan
	 	 	11	3.60105e-06	3.29019e+11	9.27722e+06	0	0	-nan
	 	 	12	2.78762e-06	3.29018e+11	9.27729e+06	0	0	-nan
	 	 	13	2.2342e-06	3.29017e+11	9.27735e+06	0	0	-nan
	 	 	14	1.78914e-06	3.29017e+11	9.27739e+06	0	0	-nan
	 	 	15	1.40914e-06	3.29016e+11	9.27742e+06	0	0	-nan
	 	 	16	1.08693e-06	3.29016e+11	9.27744e+06	0	0	-nan
	 	 	17	8.22077e-07	3.29015e+11	9.27746e+06	0	0	-nan
	 	 	18	6.1179e-07	3.29015e+11	9.27747e+06	0	0	-nan
	 	 	19	4.49841e-07	3.29015e+11	9.27748e+06	0	0	-nan
	 	 	20	3.281e-07	3.29015e+11	9.27749e+06	0	0	-nan
	 	 	21	2.38186e-07	3.29015e+11	9.27749e+06	0	0	-nan
	 	 	22	1.72556e-07	3.29015e+11	9.27749e+06	0	0	-nan
